sable denizens of that 64
story reminded me that 231
story straight in his 65
story suggests is that 251
story suggests it was 41
story supplied to him 63
story unfolded in this 82
story whenever he can 151
story whenever he was 40
story wherever we can 80
stout defender of his 187
stout opponent of all 55
stout parapets on each 72
stove consists of two 50
strap attached to each 96
strap attached to his 134
strap attached to one 105
strap yourself in and 122
strap yourself in for 149
straw cemented by earth 65
straw fastened on his 51
straw mattress in his 54
straw mattress in one 57
straw slippers on her 107
straw slippers on his 59
straw sombrero in his 70
straw sombrero on his 65
stray currents of air 52
stray glimpses we get 59
stray syllable or two 68
stray tendrils of her 146
stream adjacent to his 225
stream beautiful to thee 108
stream bordered by this 87
stream connecting it with 51
stream connecting the two 157
stream connects it with 47
stream consists of two 128
stream parallel to one 84
stream returned to its 83
stream segments of each 65
stream separating the two 58
stream velocity is low 46
stream velocity is not 110
strings attached at all 46
strings attached so that 210
strings attached to aid 136
strings attached to all 82
strings attached to any 136
strings attached to each 217
strings attached to her 167
strings attached to him 134
strings attached to his 425
strings attached to its 530
strings attached to one 91
strings attached to our 168
strings attached to that 184
strings attached to them 1337
strings attached to this 635
strings attached to two 49
strings attached to you 58
strings consisting of two 60
strings wherewith to tie 41
strip adjacent to and 152
strip attached to each 114
strip composed of two 80
strip connecting it with 41
strip connecting the two 146
strip consisting of two 281
strip consists of two 204
strip humanity of its 47
strip pinochet of his 119
strip separating the two 279
strip yourself of all 542
strong adherent of this 64
strong advocacy of his 52
strong advocacy of this 121
strong advocate of aid 42
strong advocate of air 146
strong advocate of all 214
strong advocate of both 134
strong advocate of gun 94
strong advocate of her 43
strong advocate of his 156
strong advocate of its 187
strong advocate of law 129
strong advocate of new 46
strong advocate of non 122
strong advocate of our 60
strong advocate of pan 40
strong advocate of that 112
strong advocate of this 1251
strong advocate of using 240
strong advocate of war 54
strong affection of his 73
strong affection of new 51
strong affection on both 78
strong affection to her 46
strong affection to its 51
strong affinity of this 113
strong affinity to both 47
strong affinity to each 178
strong affinity to one 68
strong affinity to that 372
strong affinity to this 89
strong agitation of his 67
strong antipathy of bad 58
strong antipathy to all 189
strong antipathy to any 88
strong antipathy to her 46
strong antipathy to him 88
strong antipathy to his 68
strong antipathy to that 51
strong antipathy to them 68
strong antipathy to this 62
strong approval of both 79
strong approval of his 145
strong approval of its 52
strong approval of them 40
strong approval of this 104
strong argument if you 58
strong argument in her 88
strong argument in his 354
strong argument in its 1605
strong argument in our 131
strong argument in that 97
strong argument in this 162
strong argument is one 52
strong argument is that 369
strong argument of his 103
strong argument of its 74
strong argument on this 86
strong argument to him 72
strong argument to say 76
strong argument to this 54
strong argument to use 96
strong assertion of her 64
strong assertion of his 234
strong assertion of its 83
strong assertion of our 47
strong assertion of this 77
strong assertion to say 47
strong believer in and 96
strong believer in being 51
strong believer in doing 41
strong believer in god 473
strong believer in his 100
strong believer in its 109
strong believer in our 53
strong believer in that 242
strong believer in this 137
strong believer in using 152
strong bulwarks of our 47
strong capacity to pay 803
strong caustics on them 41
strong challenge to any 65
strong challenge to his 123
strong challenge to its 53
strong challenge to our 45
strong challenge to this 118
strong compared to its 50
strong compared to that 317
strong contingent of his 153
strong contingent of men 62
strong contours of his 131
strong contrast in its 49
strong contrast in this 200
