of ac voltages and currents 104
on the relative air humidity 53
on the relative and absolute 423
on the religions and cultures 47
on the religious and artistic 57
on the religious and cultural 713
on the religious and economic 96
on the religious and linguistic 79
on the religious and literary 70
on the religious and mystical 41
on the reptilian and amphibian 52
on the residual gas pressure 61
on the restless air scatters 44
on the retention and excretion 74
on the revenues and authority 144
on the revenues and expenses 182
on the richness and delicacy 76
on the salaries and benefits 72
on the schedule for tomorrow 128
on the sciences and engineering 46
on the security and economic 139
on the selection and analysis 43
on the selection and operation 56
on the selection and promotion 99
on the selection and purchase 94
on the selection and retention 68
on the selection and sequencing 44
on the selection and treatment 120
on the separate and combined 130
on the separate and distinct 72
on the services and benefits 87
on the services and functions 54
on the services and products 100
on the services being provided 88
on the services they provided 77
on the severity and rapidity 66
on the severity and ubiquity 65
on the shortest path connecting 67
on the shoulder and beckoned 190
on the shoulder and chuckled 54
on the shoulder and declared 95
on the shoulder and demanded 55
on the shoulder and directed 63
on the shoulder and escorted 42
on the shoulder and followed 40
on the shoulder and gestured 142
on the shoulder and informed 123
on the shoulder and inquired 116
on the shoulder and murmured 95
on the shoulder and muttered 43
on the shoulder and politely 63
on the shoulder and promised 59
on the shoulder and remarked 134
on the shoulder and reminded 96
on the shoulder and returned 109
on the shoulder and signaled 69
on the shoulder and squeezed 50
on the shoulder and whispering 91
on the shoulder and whispers 162
on the shoulder with friendly 67
on the sidewalk and followed 51
on the sidewalk and listened 49
on the simplest and plainest 48
on the situation and condition 66
on the situation and problems 162
on the situation and progress 46
on the situation and sufferings 40
on the situation then prevailing 44
on the situation this pressure 49
on the situation was reversed 60
on the skeletal and muscular 110
on the sleepers was enormous 41
on the slowness and timidity 45
on the societal and cultural 64
on the societal and economic 47
on the sociology and politics 98
on the software and comments 67
on the software and hardware 450
on the soldiers and civilians 46
on the soldiers and officers 100
on the soldiers who defended 49
on the sophists and socrates 41
on the southerly and westerly 171
on the southwest and northwest 354
on the spaniards and africans 52
on the specific and concrete 138
on the specific heat capacity 85
on the specimen being stressed 125
on the spectral and temporal 52
on the stairway was listened 59
on the standard and formatting 375
on the standard and improved 52
on the standard oil monopoly 98
on the stimulus and response 151
on the stippled area indicate 42
on the struggle for economic 106
on the struggle for equality 137
on the struggle for religious 63
on the struggle for socialism 101
on the struggle for survival 468
on the subjects that interest 428
on the supplies and materials 50
on the surpassing and unwonted 73
on the survival and activity 52
on the survival and recovery 51
on the symbolic and cultural 101
on the symptoms and pathology 46
on the symptoms and physical 72
on the symptoms and treatment 409
on the synthesis and activity 91
on the synthesis and analysis 56
on the synthesis and assembly 65
on the synthesis and processing 212
on the synthesis and secretion 489
on the synthesis and turnover 113
on the systemic and coronary 87
on the systolic and diastolic 301
on the taxpayer qua taxpayer 90
on the template you selected 73
on the temporal and spectral 83
on the tendency and operation 70
on the thickness and hardness 155
on the thickness and porosity 54
on the thousands and thousands 108
on the threshold and listened 82
on the threshold and surveyed 85
on the threshold that debarred 64
on the topsides and bulwarks 45
on the toxicity and efficacy 85
on the treatment and disposal 321
on the treatment and education 58
