of abel found by adam 243
or three weeks we will 68
or three wives to live 50
or three words at most 74
or three words at once 50
or three words in length 71
or three words of your 148
or three yards in length 335
or three yards in width 199
or three yards of cloth 55
or three yards of gold 49
or three yards of line 80
or three yokes of oxen 104
or three yolks of eggs 53
or throw light on some 42
or throw light on these 76
or tied round the arms 41
or tied under the chin 62
or time taken to reach 49
or torn apart by wild 47
or tort where the debt 51
or town board of health 65
or town shall be held 42
or town where the bank 290
or town where the same 88
or town where we live 48
or truth shall be made 181
or truth which we have 43
or turn right or left 141
or upon piles or ranging 64
or upon which he made 75
or upon which it acts 44
or upon which the rain 48
or upon which the said 234
or upon which the same 409
or upon which the work 47
or upon which to base 52
or used within the city 68
or used within the said 162
or vast notion of what 65
or very close at hand 57
or very close in time 74
or very close to their 373
or very close to these 72
or very close to those 160
or very close to what 56
or very close to your 54
or very close to zero 1518
or very knowing in what 92
or very large in size 47
or very nearly as good 60
or very nearly as many 43
or very nearly as much 390
or very nearly as well 47
or very nearly the fame 343
or very nearly the last 154
or very nearly the same 7089
or very small in size 107
or very witty to cast 90
or vile shall be done 94
or wait until he came 62
or wait until he gets 41
or wait until the baby 41
or wait until the last 119
or wait until the next 626
or wait until the other 48
or wait until the time 75
or wait until we have 58
or walk about the room 327
or walk about the town 66
or walk round the post 84
or want others to think 42
or warm water is used 46
or well water is used 44
or went about to give 47
or were about to break 46
or were about to come 89
or were about to fail 65
or were about to fall 107
or were about to have 211
or were about to hold 50
or were about to join 89
or were about to leave 404
or were about to lose 153
or were about to make 245
or were about to meet 93
or were about to move 92
or were about to open 49
or were about to pass 73
or were about to quit 59
or were about to reach 88
or were about to take 378
or were asked to leave 275
or were aware of their 46
or were blown to bits 43
or were bound to know 87
or were close to having 43
or were close to their 56
or were found to have 263
or were known to have 384
or were short of faith 46
or were slain by some 40
or were still in their 60
or were until the other 117
or were willing to give 96
or were willing to have 52
or were willing to join 55
or were willing to learn 89
or were willing to make 176
or were willing to risk 42
or were willing to seem 70
or were willing to take 114
or were willing to work 70
or what action to take 237
or what after the verb 144
or what comes to mind 45
or what comes to much 66
or what could be done 960
or what could be made 114
or what could be meant 55
or what could be more 156
or what could be said 91
or what could be seen 241
or what could go wrong 72
or what could he have 60
or what limit at last 48
or what makes it work 44
or what might be coming 47
or what might be done 602
or what might be left 104
or what might be more 634
or what might be said 118
or what might be seen 154
or what might be their 168
or what might go wrong 58
or what moves the moon 44
or what ought to give 74
or what ought to have 381
or what people do when 56
or what period of time 79
or what point of view 42
or what queen so fair 66
or what reason is there 178
or what route to take 63
or what seems to have 134
or what shall be done 307
or what shall be their 66
or what shall he give 139
or what shall we call 57
or what shape it will 51
or what siege so sore 72
or what state of mind 52
or what steps to take 227
or what today we call 140
or what value is there 67
or what would be best 309
or what would be done 188
or what would be even 119
or what would be good 119
or what would be left 183
or what would be more 443
or what would be most 143
or what would be much 67
or what would be next 44
or what would be said 49
or what would be such 53
or what would be their 124
