of aa meetings and 125
or the shadow and 43
or the shadow that 327
or the shapes and 125
or the shapes that 91
or the shared use 44
or the shares are 220
or the shares may 87
or the shares not 55
or the sheets are 56
or the sheets may 100
or the shells and 77
or the shield and 98
or the shifting and 42
or the shipping act 58
or the shipping and 60
or the shooting out 143
or the shoots may 66
or the shouts and 81
or the shovel and 41
or the shower bath 181
or the shrill cry 229
or the shutting off 252
or the sights and 149
or the sights that 51
or the signal can 161
or the signal for 253
or the signal may 220
or the signal that 180
or the signal was 81
or the silent and 81
or the silver age 114
or the silver and 136
or the silver may 92
or the silver that 52
or the simple act 213
or the simple and 411
or the simple but 163
or the simple idea 86
or the simple joy 72
or the simple law 76
or the simple man 52
or the simple one 42
or the simple things 41
or the simple use 146
or the singular and 60
or the singular may 65
or the sinner who 45
or the sister and 57
or the sister her 40
or the sister who 211
or the sister with 50
or the skills and 459
or the skills are 56
or the skills for 140
or the skills that 564
or the skills they 219
or the skills you 110
or the skinny one 85
or the slaves and 42
or the slaves that 159
or the slaves who 148
or the slides may 57
or the slight and 44
or the slopes and 42
or the slopes are 59
or the slower and 143
or the slower but 78
or the sludge may 66
or the smiles and 55
or the smoked meat 45
or the smoker who 40
or the snares and 89
or the soccer team 59
or the sodium and 50
or the softer and 101
or the solder may 41
or the solemn and 162
or the something that 141
or the sooner they 49
or the sorrow and 100
or the sorrow for 62
or the sorrow that 174
or the sounds and 167
or the sounds are 75
or the sounds may 64
or the sounds she 49
or the sounds that 680
or the sounds they 138
or the source and 481
or the source can 85
or the source for 165
or the source may 230
or the source that 134
or the source was 81
or the soviet and 77
or the soviet far 198
or the soviet kgb 48
or the spaces are 41
or the spaces may 49
or the spaces that 117
or the spaces they 77
or the spasms and 87
or the spasms may 49
or the spatial and 107
or the speaker and 411
or the speaker can 101
or the speaker does 80
or the speaker had 100
or the speaker has 150
or the speaker may 626
or the speaker was 69
or the speaker who 206
or the speaker with 41
or the special act 3821
or the special and 180
or the special law 141
or the special one 154
or the special tax 143
or the special use 341
or the special way 55
or the speech act 342
or the speech and 121
or the speech may 65
or the speech that 200
or the spelling out 54
or the spines may 48
or the spinning and 40
or the spirit and 1284
or the spirit are 51
or the spirit can 62
or the spirit for 109
or the spirit has 67
or the spirit may 176
or the spirit that 2268
or the spirit they 48
or the spirit was 154
or the spirit who 193
or the spirit with 165
or the splash and 62
or the spleen and 147
or the spleen may 170
or the spores are 75
or the spores may 77
or the sports and 87
or the sports car 91
or the spouse and 136
or the spouse are 47
or the spouse can 68
or the spouse for 46
or the spouse had 50
or the spouse has 172
or the spouse may 111
or the spouse was 74
or the spouse who 367
or the spouse with 62
or the spreading out 220
or the sputum may 74
or the square and 139
or the square with 47
or the stable and 54
or the stable boy 58
or the stable was 45
or the stakes are 80
or the stalks and 90
or the stalks are 56
or the standing and 44
or the starch may 48
or the starry sky 239
or the starting and 79
or the states and 491
or the states are 277
or the states can 267
or the states for 125
or the states had 197
or the states may 270
or the states that 925
or the states they 54
or the states who 53
or the states with 57
or the static and 71
or the station and 50
or the station may 75
or the station that 96
or the station was 40
or the statue that 141
or the statue was 59
or the status and 302
or the status bar 244
or the status that 394
or the status they 63
or the steering gear 100
or the sterling area 147
or the sticks and 42
or the stifling heat 75
or the stigma may 46
or the stigma that 86
or the stocks and 125
or the stocks for 95
or the stones and 99
or the stones are 65
or the stones may 92
or the stones that 143
or the stools are 94
or the stools may 136
or the stores and 92
or the stores are 45
or the stores that 97
or the storms and 59
or the storms that 150
or the stormy sky 221
or the strain and 93
or the strain may 51
or the strain that 116
or the strange and 243
or the strange man 163
or the strange one 115
or the strange things 67
or the strata are 43
or the strata may 86
or the streams and 54
or the streams run 45
or the streams that 156
or the street and 272
or the street car 125
or the street for 67
or the street may 53
or the street that 143
or the street with 98
or the strength and 1339
or the strength for 136
or the strength that 412
or the strength with 154
or the stress and 196
or the stress may 111
or the stress per 64
or the stress that 384
or the strict and 45
or the strike was 61
or the striking out 165
or the strips may 83
or the striving for 504
or the stupid and 59
or the styles and 49
or the subtle and 300
or the sudden and 456
or the sudden cry 47
or the sudden death 590
or the sudden hum 46
or the summer and 87
or the summer heat 224
or the summer sun 369
or the sunday new 63
or the supply and 442
or the supply can 74
or the supply for 77
or the supply has 67
or the supply may 163
or the supply was 57
or the surest way 63
or the surety for 77
or the surety may 154
or the surgeon and 77
or the surgeon can 134
or the surgeon has 136
or the surgeon may 796
or the surgeon was 41
or the surgeon who 257
or the survey and 43
or the survey may 54
or the suture may 56
or the swamps and 54
or the swedes and 42
or the swelling and 132
or the swelling may 228
or the switch can 58
or the switch has 44
or the switch may 78
or the switch that 53
or the symbol and 101
or the symbol for 436
or the symbol may 61
or the symbol that 206
or the system and 322
or the system are 100
or the system being 152
or the system bios 49
or the system bus 90
or the system but 78
or the system can 968
or the system does 285
or the system for 343
or the system goes 41
or the system had 87
or the system has 607
or the system may 1392
or the system that 1750
or the system they 111
or the system was 255
or the system with 116
or the system you 230
or the tables and 125
or the tables are 54
or the tables may 70
or the tailor his 45
or the tailor who 112
or the talent and 78
or the talent for 323
or the talent that 64
or the talmud and 63
or the talmud read 46
or the target and 94
or the target area 81
or the target can 109
or the target for 160
or the target has 68
or the target may 154
or the target that 47
or the target was 98
or the tariff act 74
or the tastes and 111
or the tavern with 42
or the teacher and 861
or the teacher are 144
or the teacher but 66
or the teacher can 1831
or the teacher did 87
or the teacher does 200
or the teacher for 340
or the teacher had 134
or the teacher has 425
or the teacher may 3423
or the teacher read 78
